match_id,date,home_team,away_team,af_competition,af_round,venue_name,venue_city,referee,status,ht_home,ht_away,et_home,et_away,pen_home,pen_away
0276f6b182,2022-06-07,Cape Verde,Togo,Africa Cup of Nations - Qualification,Group Stage - 2,Stade de Marrakech,Marrakech,M. Malki,Match Finished,1,0,,,,
ccd32331e3,2022-06-07,Germany,England,UEFA Nations League,League A - 2,Allianz Arena,München,"Carlos Del Cerro Grande, Spain",Match Finished,0,0,,,,
7dcbbc00a8,2022-06-07,Haiti,Montserrat,CONCACAF Nations League,League B - 2,Estadio Olímpico Félix Sánchez,Santo Domingo,D. Gómez,Match Finished,3,1,,,,
926cc81d41,2022-06-07,Lithuania,Turkey,UEFA Nations League,League C - 2,Vilniaus LFF stadionas,Vilnius,"Novak Simovic, Serbia",Match Finished,0,2,,,,
e3c91a18aa,2022-06-07,Senegal,Rwanda,Africa Cup of Nations - Qualification,Group Stage - 2,Stade Me Abdoulaye Wade,Diamniadio,J. Ndala,Match Finished,0,0,,,,
6b0cce9bed,2022-06-08,Belgium,Poland,UEFA Nations League,League A - 2,Stade Roi Baudouin,Brussels,"Ivan Kruzliak, Slovakia",Match Finished,1,1,,,,
9b517c56ae,2022-06-08,Scotland,Armenia,UEFA Nations League,League B - 2,Hampden Park,Glasgow,"Sebastian Gishamer, Austria",Match Finished,2,0,,,,
9c98856923,2022-06-08,Tanzania,Algeria,Africa Cup of Nations - Qualification,Group Stage - 2,Benjamin Mkapa National Stadium,Dar-es-Salaam,Mahmood Ismail,Match Finished,0,1,,,,
5111de14b1,2022-06-08,Wales,Netherlands,UEFA Nations League,League A - 2,Cardiff City Stadium,Cardiff,"Glenn Nyberg, Sweden",Match Finished,0,0,,,,
738f9604d0,2022-06-09,Canada,Curaçao,CONCACAF Nations League,League A - 3,BC Place Stadium,"Vancouver, British Columbia",N. Saghafi,Match Finished,2,0,,,,
759b799a59,2022-06-09,Ethiopia,Egypt,Africa Cup of Nations - Qualification,Group Stage - 2,Bingu National Stadium,Lilongwe,G. Gatogato,Match Finished,2,0,,,,
8be1261ebd,2022-06-09,Lesotho,Ivory Coast,Africa Cup of Nations - Qualification,Group Stage - 2,Dobsonville Stadium,"Johannesburg, GA",P. Milazare,Match Finished,0,0,,,,
627c533345,2022-06-09,Morocco,South Africa,Africa Cup of Nations - Qualification,Group Stage - 1,Stade Prince Moulay Abdallah,Rabat,S. Selmi,Match Finished,0,1,,,,
df39ff91b5,2022-06-09,Norway,Slovenia,UEFA Nations League,League B - 3,Ullevaal Stadion,Oslo,"Fabio Jose Costa Verissimo, Portugal",Match Finished,0,0,,,,
c68bae4096,2022-06-09,Panama,Martinique,CONCACAF Nations League,League A - 3,Estadio Rommel Fernández Gutiérrez,Ciudad de Panamá,I. Cornejo,Match Finished,2,0,,,,
066563063f,2022-06-09,Portugal,Czech Republic,UEFA Nations League,League A - 3,Estádio José Alvalade,Lisboa,"Matej Jug, Slovenia",Match Finished,2,0,,,,
b03a1aa208,2022-06-09,Sweden,Serbia,UEFA Nations League,League B - 3,Friends Arena,Solna,"Lawrence Visser, Belgium",Match Finished,0,1,,,,
9586e26281,2022-06-09,Switzerland,Spain,UEFA Nations League,League A - 3,Stade de Genéve,Geneva,"Serdar Gozubuyuk, Netherlands",Match Finished,0,1,,,,
091e62e006,2022-06-10,Austria,France,UEFA Nations League,League A - 3,Ernst-Happel-Stadion,Wien,"Tasos Sidiropoulos, Greece",Match Finished,1,0,,,,
a90a374d91,2022-06-10,Denmark,Croatia,UEFA Nations League,League A - 3,Parken,København,"Bartosz Frankowski, Poland",Match Finished,0,0,,,,
8835f8df25,2022-06-10,United States,Grenada,CONCACAF Nations League,League A - 3,Q2 Stadium,"Austin, Texas",S. Martínez,Match Finished,1,0,,,,
d7f6a223df,2022-06-11,England,Italy,UEFA Nations League,League A - 3,Molineux Stadium,"Wolverhampton, West Midlands","Szymon Marciniak, Poland",Match Finished,0,0,,,,
a1bc41b750,2022-06-11,Guyana,Haiti,CONCACAF Nations League,League B - 3,Synthetic Track and Field Facility,Leonora,L. Santander,Match Finished,2,5,,,,
e04716fe48,2022-06-11,Hungary,Germany,UEFA Nations League,League A - 3,Puskás Aréna,Budapest,"Jose Maria Sanchez Martinez, Spain",Match Finished,1,1,,,,
b9563c243b,2022-06-11,Luxembourg,Turkey,UEFA Nations League,League C - 3,Stade de Luxembourg,Luxembourg,"Antonio Nobre, Portugal",Match Finished,0,1,,,,
c332de4e76,2022-06-11,Mexico,Suriname,CONCACAF Nations League,League A - 3,Estadio Nuevo Corona,Torreón,Ivan Cisneros,Match Finished,2,0,,,,
d0b510d1fc,2022-06-11,Netherlands,Poland,UEFA Nations League,League A - 3,Stadion Feijenoord,Rotterdam,"Halil Umut Meler, Turkey",Match Finished,0,1,,,,
0480f36740,2022-06-11,Wales,Belgium,UEFA Nations League,League A - 3,Cardiff City Stadium,Cardiff,"Benoît Bastien, France",Match Finished,0,0,,,,
ed03f60d60,2022-06-12,Martinique,Panama,CONCACAF Nations League,League A - 4,Stade Municipal Pierre-Aliker,Fort-de-France,F. Guerrero,Match Finished,0,0,,,,
367387231b,2022-06-12,Norway,Sweden,UEFA Nations League,League B - 4,Ullevaal Stadion,Oslo,"Harm Osmers, Germany",Match Finished,1,0,,,,
9d0e57ab37,2022-06-12,Spain,Czech Republic,UEFA Nations League,League A - 4,Estadio La Rosaleda,Málaga,"Cuneyt Cakır, Turkey",Match Finished,1,0,,,,
2fefbd748a,2022-06-12,Switzerland,Portugal,UEFA Nations League,League A - 4,Stade de Genéve,Geneva,"Fran Jović, Croatia",Match Finished,1,0,,,,
a20bd80aee,2022-06-13,Australia,Peru,World Cup - Qualification Intercontinental Play-offs,Finals,Ahmad bin Ali Stadium,Al-Rayyan,S. Vinčić,Match Finished,0,0,0,0,5,4
2a1f526a1e,2022-06-13,Denmark,Austria,UEFA Nations League,League A - 4,Parken,København,"Alejandro Hernandez, Spain",Match Finished,2,0,,,,
44e6ada026,2022-06-13,France,Croatia,UEFA Nations League,League A - 4,Stade de France,Paris,"Orel Grinfeeld, Israel",Match Finished,0,1,,,,
ac1e364067,2022-06-13,Honduras,Canada,CONCACAF Nations League,League A - 4,Estadio Olímpico Metropolitano,San Pedro Sula,M. Escobar,Match Finished,1,0,,,,
a897a8db40,2022-06-13,Morocco,Liberia,Africa Cup of Nations - Qualification,Group Stage - 2,Stade Mohamed V,Casablanca,M. Moussa,Match Finished,0,0,,,,
e638f62809,2022-06-14,Armenia,Scotland,UEFA Nations League,League B - 4,Vazgen Sargsyan anvan Hanrapetakan Marzadasht,Yerevan,"Nikola Dabanovic, Montenegro",Match Finished,1,2,,,,
0ace667343,2022-06-14,Costa Rica,New Zealand,World Cup - Qualification Intercontinental Play-offs,Finals,Ahmad bin Ali Stadium,Al-Rayyan,Mohammed Abdulla Alali,Match Finished,1,0,,,,
0b3b786b6f,2022-06-14,El Salvador,United States,CONCACAF Nations League,League A - 4,Estadio Cuscatlán,San Salvador,C. Ramos,Match Finished,1,0,,,,
68b3c16e6d,2022-06-14,England,Hungary,UEFA Nations League,League A - 4,Molineux Stadium,"Wolverhampton, West Midlands","Clement Turpin, France",Match Finished,0,1,,,,
8596edbd45,2022-06-14,Germany,Italy,UEFA Nations League,League A - 4,Stadion im BORUSSIA-PARK,Mönchengladbach,"Istvan Kovacs, Romania",Match Finished,2,0,,,,
81d3c2f343,2022-06-14,Haiti,Guyana,CONCACAF Nations League,League B - 4,Estadio Olímpico Félix Sánchez,Santo Domingo,R. Encarnacion,Match Finished,1,0,,,,
8a06252c14,2022-06-14,Jamaica,Mexico,CONCACAF Nations League,League A - 4,Independence Park,Kingston,A. Villarreal,Match Finished,1,1,,,,
8214530de9,2022-06-14,Netherlands,Wales,UEFA Nations League,League A - 4,Stadion Feijenoord,Rotterdam,"Horatiu Fesnic, Romania",Match Finished,2,1,,,,
c2aaca0df0,2022-06-14,Poland,Belgium,UEFA Nations League,League A - 4,Stadion Narodowy,Warszawa,"Irfan Peljto, Bosnia & Herzegovina",Match Finished,0,1,,,,
da67cdc1e8,2022-06-14,Turkey,Lithuania,UEFA Nations League,League C - 4,Göztepe Gürsel Aksel Stadı,İzmir,"Stephanie Frappart, France",Match Finished,1,0,,,,
682afc5799,2022-09-21,Scotland,Ukraine,UEFA Nations League,League B - 1,Hampden Park,Glasgow,"Maurizio Mariani, Italy",Match Finished,0,0,,,,
5ddb121ca2,2022-09-22,Belgium,Wales,UEFA Nations League,League A - 5,Stade Roi Baudouin,Brussels,"Ali Palabiyik, Turkey",Match Finished,2,0,,,,
db1ba291c2,2022-09-22,Croatia,Denmark,UEFA Nations League,League A - 5,Stadion Maksimir,Zagreb,"Davide Massa, Italy",Match Finished,0,0,,,,
