match_id,date,days_ago,in_4y_window,home_team,away_team,home_score,away_score,total_goals,goal_difference,result,went_to_shootout,shootout_winner,tournament,competition_type,is_competitive,neutral,city,country,wc26_home,wc26_away,both_wc26
9ae4bed6ed,2018-06-07,2922,FALSE,England,Costa Rica,2,0,2,2,H,FALSE,,Friendly,Friendly,FALSE,FALSE,Leeds,England,TRUE,FALSE,FALSE
34b3cb7a27,2018-06-07,2922,FALSE,Iceland,Ghana,2,2,4,0,D,FALSE,,Friendly,Friendly,FALSE,FALSE,Reykjavík,Iceland,FALSE,TRUE,FALSE
4eb1ef9c69,2018-06-07,2922,FALSE,India,New Zealand,1,2,3,-1,A,FALSE,,Intercontinental Cup,Other,TRUE,FALSE,Mumbai,India,FALSE,TRUE,FALSE
5cba3c5f33,2018-06-07,2922,FALSE,Portugal,Algeria,3,0,3,3,H,FALSE,,Friendly,Friendly,FALSE,FALSE,Lisbon,Portugal,TRUE,TRUE,TRUE
8d082a8486,2018-06-07,2922,FALSE,South Korea,Bolivia,0,0,0,0,D,FALSE,,Friendly,Friendly,FALSE,TRUE,Innsbruck,Austria,TRUE,FALSE,FALSE
d8c821311f,2018-06-07,2922,FALSE,Uruguay,Uzbekistan,3,0,3,3,H,FALSE,,Friendly,Friendly,FALSE,FALSE,Montevideo,Uruguay,TRUE,TRUE,TRUE
e6bce10f67,2018-06-08,2921,FALSE,Croatia,Senegal,2,1,3,1,H,FALSE,,Friendly,Friendly,FALSE,FALSE,Osijek,Croatia,TRUE,TRUE,TRUE
978e4f2b12,2018-06-08,2921,FALSE,Germany,Saudi Arabia,2,1,3,1,H,FALSE,,Friendly,Friendly,FALSE,FALSE,Leverkusen,Germany,TRUE,TRUE,TRUE
1b971c1087,2018-06-08,2921,FALSE,Lithuania,Iran,0,1,1,-1,A,FALSE,,Friendly,Friendly,FALSE,TRUE,Moscow,Russia,FALSE,TRUE,FALSE
8b505c44e7,2018-06-08,2921,FALSE,South Africa,Botswana,3,0,3,3,H,FALSE,,COSAFA Cup,Other,TRUE,FALSE,Polokwane,South Africa,TRUE,FALSE,FALSE
ed9efebce6,2018-06-08,2921,FALSE,Switzerland,Japan,2,0,2,2,H,FALSE,,Friendly,Friendly,FALSE,FALSE,Lugano,Switzerland,TRUE,TRUE,TRUE
084b7dc358,2018-06-09,2920,FALSE,Denmark,Mexico,2,0,2,2,H,FALSE,,Friendly,Friendly,FALSE,FALSE,Brøndby,Denmark,FALSE,TRUE,FALSE
ecbaf2caa4,2018-06-09,2920,FALSE,Estonia,Morocco,1,3,4,-2,A,FALSE,,Friendly,Friendly,FALSE,FALSE,Tallinn,Estonia,FALSE,TRUE,FALSE
17aefc785e,2018-06-09,2920,FALSE,France,United States,1,1,2,0,D,FALSE,,Friendly,Friendly,FALSE,FALSE,Lyon,France,TRUE,TRUE,TRUE
12f1f74534,2018-06-09,2920,FALSE,Hungary,Australia,1,2,3,-1,A,FALSE,,Friendly,Friendly,FALSE,FALSE,Budapest,Hungary,FALSE,TRUE,FALSE
fd009eb7a6,2018-06-09,2920,FALSE,Sweden,Peru,0,0,0,0,D,FALSE,,Friendly,Friendly,FALSE,FALSE,Gothenburg,Sweden,TRUE,FALSE,FALSE
