team_a,team_b,played,a_wins,draws,b_wins,a_goals,b_goals,last_meeting,last_score,last_tournament
Algeria,Cape Verde,1,1,0,0,5,1,2023-10-12,Algeria 5-1 Cape Verde,Friendly
Algeria,DR Congo,1,1,0,0,1,0,2026-01-06,Algeria 1-0 DR Congo,African Cup of Nations
Algeria,Egypt,1,0,1,0,1,1,2023-10-16,Algeria 1-1 Egypt,Friendly
Algeria,Iran,1,1,0,0,2,1,2022-06-12,Iran 1-2 Algeria,Friendly
Algeria,Iraq,1,1,0,0,2,0,2025-12-09,Algeria 2-0 Iraq,Arab Cup
Algeria,Netherlands,1,1,0,0,1,0,2026-06-03,Netherlands 0-1 Algeria,Friendly
Algeria,Saudi Arabia,1,1,0,0,2,0,2025-11-18,Saudi Arabia 0-2 Algeria,Friendly
Algeria,Senegal,1,1,0,0,1,0,2023-09-12,Senegal 0-1 Algeria,Friendly
Algeria,South Africa,1,0,1,0,3,3,2024-03-26,Algeria 3-3 South Africa,FIFA Series
Algeria,Sweden,2,0,0,2,3,6,2025-06-10,Sweden 4-3 Algeria,Friendly
Algeria,Tunisia,1,0,1,0,1,1,2023-06-20,Algeria 1-1 Tunisia,Friendly
Algeria,Uruguay,1,0,1,0,0,0,2026-03-31,Algeria 0-0 Uruguay,Friendly
Argentina,Australia,2,2,0,0,4,1,2023-06-15,Argentina 2-0 Australia,Friendly
Argentina,Brazil,2,2,0,0,5,1,2025-03-25,Argentina 4-1 Brazil,FIFA World Cup qualification
Argentina,Canada,2,2,0,0,4,0,2024-07-09,Argentina 2-0 Canada,Copa América
Argentina,Colombia,3,1,1,1,3,3,2025-06-10,Argentina 1-1 Colombia,FIFA World Cup qualification
Argentina,Croatia,1,1,0,0,3,0,2022-12-13,Argentina 3-0 Croatia,FIFA World Cup
Argentina,Curaçao,1,1,0,0,7,0,2023-03-28,Argentina 7-0 Curaçao,Friendly
Argentina,Ecuador,4,2,1,1,3,2,2025-09-09,Ecuador 1-0 Argentina,FIFA World Cup qualification
Argentina,France,1,0,1,0,3,3,2022-12-18,Argentina 3-3 France,FIFA World Cup
Argentina,Mexico,1,1,0,0,2,0,2022-11-26,Argentina 2-0 Mexico,FIFA World Cup
Argentina,Netherlands,1,0,1,0,2,2,2022-12-09,Netherlands 2-2 Argentina,FIFA World Cup
Argentina,Panama,1,1,0,0,2,0,2023-03-23,Argentina 2-0 Panama,Friendly
Argentina,Paraguay,2,1,0,1,2,2,2024-11-14,Paraguay 2-1 Argentina,FIFA World Cup qualification
Argentina,Saudi Arabia,1,0,0,1,1,2,2022-11-22,Argentina 1-2 Saudi Arabia,FIFA World Cup
