match_id,date,days_ago,home_team,away_team,home_score,away_score,total_goals,goal_difference,result,winner,loser,went_to_shootout,shootout_winner,tournament,competition_type,is_competitive,city,country,neutral,home_is_host,wc26_home,wc26_away,both_wc26,home_scorers,away_scorers,sb_stage,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_passes,away_passes,af_competition,af_round,venue_name,venue_city,referee,ht_home,ht_away,et_home,et_away,pen_home,pen_away,notes
a588bfcb1f,2022-06-07,1461,Bosnia and Herzegovina,Romania,1,0,1,1,H,Bosnia and Herzegovina,Romania,FALSE,,UEFA Nations League,Nations League,TRUE,Zenica,Bosnia and Herzegovina,FALSE,TRUE,TRUE,FALSE,FALSE,Smail Prevljak 68',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0276f6b182,2022-06-07,1461,Cape Verde,Togo,2,0,2,2,H,Cape Verde,Togo,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Marrakech,Morocco,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,Africa Cup of Nations - Qualification,Group Stage - 2,Stade de Marrakech,Marrakech,M. Malki,1,0,,,,,
ccd32331e3,2022-06-07,1461,Germany,England,1,1,2,0,D,Draw,,FALSE,,UEFA Nations League,Nations League,TRUE,Munich,Germany,FALSE,TRUE,TRUE,TRUE,TRUE,Jonas Hofmann 50',Harry Kane 88' (pen),,,,,,,,,,,,,,,,,,UEFA Nations League,League A - 2,Allianz Arena,München,"Carlos Del Cerro Grande, Spain",0,0,,,,,
7dcbbc00a8,2022-06-07,1461,Haiti,Montserrat,3,2,5,1,H,Haiti,Montserrat,FALSE,,CONCACAF Nations League,Nations League,TRUE,Santo Domingo,Dominican Republic,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,CONCACAF Nations League,League B - 2,Estadio Olímpico Félix Sánchez,Santo Domingo,D. Gómez,3,1,,,,,
926cc81d41,2022-06-07,1461,Lithuania,Turkey,0,6,6,-6,A,Turkey,Lithuania,FALSE,,UEFA Nations League,Nations League,TRUE,Vilnius,Lithuania,FALSE,TRUE,FALSE,TRUE,FALSE,,Doğukan Sinik 2'; Doğukan Sinik 14'; Serdar Dursun 56' (pen); Serdar Dursun 81'; Yunus Akgün 89'; Halil Dervişoğlu 90',,,,,,,,,,,,,,,,,,UEFA Nations League,League C - 2,Vilniaus LFF stadionas,Vilnius,"Novak Simovic, Serbia",0,2,,,,,
e3c91a18aa,2022-06-07,1461,Senegal,Rwanda,1,0,1,1,H,Senegal,Rwanda,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Diamniadio,Senegal,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,Africa Cup of Nations - Qualification,Group Stage - 2,Stade Me Abdoulaye Wade,Diamniadio,J. Ndala,0,0,,,,,
139aa8e20a,2022-06-07,1461,United Arab Emirates,Australia,1,2,3,-1,A,Australia,United Arab Emirates,FALSE,,FIFA World Cup qualification,WC Qualifier,TRUE,Al Rayyan,Qatar,TRUE,FALSE,FALSE,TRUE,FALSE,Caio Canedo 57',Jackson Irvine 53'; Ajdin Hrustic 84',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b0cce9bed,2022-06-08,1460,Belgium,Poland,6,1,7,5,H,Belgium,Poland,FALSE,,UEFA Nations League,Nations League,TRUE,Brussels,Belgium,FALSE,TRUE,TRUE,FALSE,FALSE,Axel Witsel 42'; Kevin De Bruyne 59'; Leandro Trossard 73'; Leandro Trossard 80'; Leander Dendoncker 83'; Loïs Openda 90',Robert Lewandowski 28',,,,,,,,,,,,,,,,,,UEFA Nations League,League A - 2,Stade Roi Baudouin,Brussels,"Ivan Kruzliak, Slovakia",1,1,,,,,
99efea01ac,2022-06-08,1460,Jordan,Nepal,2,0,2,2,H,Jordan,Nepal,FALSE,,AFC Asian Cup qualification,Continental Qualifier,TRUE,Kuwait City,Kuwait,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b517c56ae,2022-06-08,1460,Scotland,Armenia,2,0,2,2,H,Scotland,Armenia,FALSE,,UEFA Nations League,Nations League,TRUE,Glasgow,Scotland,FALSE,TRUE,TRUE,FALSE,FALSE,Anthony Ralston 28'; Scott McKenna 40',,,,,,,,,,,,,,,,,,,UEFA Nations League,League B - 2,Hampden Park,Glasgow,"Sebastian Gishamer, Austria",2,0,,,,,
bbe58e9888,2022-06-08,1460,Sudan,DR Congo,2,1,3,1,H,Sudan,DR Congo,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Omdurman,Sudan,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c98856923,2022-06-08,1460,Tanzania,Algeria,0,2,2,-2,A,Algeria,Tanzania,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Dar es Salaam,Tanzania,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,Africa Cup of Nations - Qualification,Group Stage - 2,Benjamin Mkapa National Stadium,Dar-es-Salaam,Mahmood Ismail,0,1,,,,,
6403ce2056,2022-06-08,1460,Uzbekistan,Sri Lanka,3,0,3,3,H,Uzbekistan,Sri Lanka,FALSE,,AFC Asian Cup qualification,Continental Qualifier,TRUE,Namangan,Uzbekistan,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5111de14b1,2022-06-08,1460,Wales,Netherlands,1,2,3,-1,A,Netherlands,Wales,FALSE,,UEFA Nations League,Nations League,TRUE,Cardiff,Wales,FALSE,TRUE,FALSE,TRUE,FALSE,Rhys Norrington-Davies 90',Teun Koopmeiners 50'; Wout Weghorst 90',,,,,,,,,,,,,,,,,,UEFA Nations League,League A - 2,Cardiff City Stadium,Cardiff,"Glenn Nyberg, Sweden",0,0,,,,,
738f9604d0,2022-06-09,1459,Canada,Curaçao,4,0,4,4,H,Canada,Curaçao,FALSE,,CONCACAF Nations League,Nations League,TRUE,Vancouver,Canada,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,CONCACAF Nations League,League A - 3,BC Place Stadium,"Vancouver, British Columbia",N. Saghafi,2,0,,,,,
759b799a59,2022-06-09,1459,Ethiopia,Egypt,2,0,2,2,H,Ethiopia,Egypt,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Lilongwe,Malawi,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,Africa Cup of Nations - Qualification,Group Stage - 2,Bingu National Stadium,Lilongwe,G. Gatogato,2,0,,,,,
8be1261ebd,2022-06-09,1459,Lesotho,Ivory Coast,0,0,0,0,D,Draw,,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Soweto,South Africa,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,Africa Cup of Nations - Qualification,Group Stage - 2,Dobsonville Stadium,"Johannesburg, GA",P. Milazare,0,0,,,,,
627c533345,2022-06-09,1459,Morocco,South Africa,2,1,3,1,H,Morocco,South Africa,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Rabat,Morocco,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,Africa Cup of Nations - Qualification,Group Stage - 1,Stade Prince Moulay Abdallah,Rabat,S. Selmi,0,1,,,,,
d5f2d7e138,2022-06-09,1459,New Zealand,Oman,0,0,0,0,D,Draw,,FALSE,,Friendly,Friendly,FALSE,Al Rayyan,Qatar,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
