team,date,elo
Iran,2010-01-02,1510.0
Qatar,2010-01-02,1497.2
Egypt,2010-01-04,1510.1
Ivory Coast,2010-01-04,1512.8
Ghana,2010-01-05,1500.0
Australia,2010-01-06,1505.6
Iran,2010-01-06,1547.6
Jordan,2010-01-06,1505.6
Japan,2010-01-06,1524.9
Ivory Coast,2010-01-07,1527.2
Tunisia,2010-01-09,1487.2
South Korea,2010-01-09,1485.0
Ivory Coast,2010-01-11,1525.3
Algeria,2010-01-11,1456.2
Egypt,2010-01-12,1546.5
Tunisia,2010-01-13,1489.2
Algeria,2010-01-14,1484.4
Ivory Coast,2010-01-15,1560.1
Ghana,2010-01-15,1465.2
Egypt,2010-01-16,1577.6
Tunisia,2010-01-17,1492.8
Algeria,2010-01-18,1494.0
South Korea,2010-01-18,1500.6
Ghana,2010-01-19,1492.9
Panama,2010-01-20,1492.8
Egypt,2010-01-20,1604.6
Sweden,2010-01-20,1513.5
Tunisia,2010-01-21,1494.8
South Korea,2010-01-22,1510.6
Sweden,2010-01-23,1516.6
United States,2010-01-23,1480.8
Ghana,2010-01-24,1526.3
Ivory Coast,2010-01-24,1530.4
Algeria,2010-01-24,1523.7
Egypt,2010-01-25,1633.0
Argentina,2010-01-26,1507.2
South Africa,2010-01-27,1511.6
Algeria,2010-01-28,1491.1
Egypt,2010-01-28,1665.6
Ghana,2010-01-28,1551.6
Algeria,2010-01-30,1467.0
Ghana,2010-01-31,1534.5
Egypt,2010-01-31,1682.6
Canada,2010-01-31,1492.8
Japan,2010-02-02,1521.5
Japan,2010-02-06,1517.3
South Korea,2010-02-07,1537.4
Argentina,2010-02-10,1514.4
South Korea,2010-02-10,1510.3
Japan,2010-02-11,1531.6
Japan,2010-02-14,1501.5
South Korea,2010-02-14,1540.3
Mexico,2010-02-24,1520.0
United States,2010-02-24,1488.5
Jordan,2010-02-25,1486.2
Brazil,2010-03-02,1515.0
Algeria,2010-03-03,1446.2
Australia,2010-03-03,1518.4
Austria,2010-03-03,1507.2
Belgium,2010-03-03,1487.2
Croatia,2010-03-03,1512.8
Bosnia and Herzegovina,2010-03-03,1508.1
Ghana,2010-03-03,1526.3
England,2010-03-03,1518.5
Egypt,2010-03-03,1664.1
France,2010-03-03,1480.8
Spain,2010-03-03,1519.2
Germany,2010-03-03,1487.6
Argentina,2010-03-03,1526.8
Senegal,2010-03-03,1519.2
Iran,2010-03-03,1558.4
Ivory Coast,2010-03-03,1515.8
South Korea,2010-03-03,1554.9
Japan,2010-03-03,1521.4
Jordan,2010-03-03,1497.7
Mexico,2010-03-03,1534.1
New Zealand,2010-03-03,1485.9
Netherlands,2010-03-03,1506.9
United States,2010-03-03,1481.6
DR Congo,2010-03-03,1488.7
Portugal,2010-03-03,1513.6
Scotland,2010-03-03,1507.2
Czech Republic,2010-03-03,1492.8
Norway,2010-03-03,1512.8
Qatar,2010-03-03,1484.7
South Africa,2010-03-03,1508.5
Switzerland,2010-03-03,1480.8
Uruguay,2010-03-03,1519.2
Turkey,2010-03-03,1511.6
Uzbekistan,2010-03-03,1475.2
Panama,2010-03-03,1505.9
Sweden,2010-03-03,1528.9
Mexico,2010-03-17,1541.5
Haiti,2010-03-24,1502.8
Mexico,2010-03-24,1540.7
Paraguay,2010-03-31,1497.4
South Africa,2010-03-31,1511.1
Japan,2010-04-07,1498.9
South Africa,2010-04-22,1511.7
South Africa,2010-04-28,1526.2
Argentina,2010-05-05,1539.1
Haiti,2010-05-05,1490.5
Mexico,2010-05-07,1539.5
Ecuador,2010-05-07,1501.2
Mexico,2010-05-10,1548.9
Senegal,2010-05-10,1509.8
Germany,2010-05-13,1500.1
Mexico,2010-05-13,1557.0
Paraguay,2010-05-15,1508.4
South Korea,2010-05-16,1563.7
Ecuador,2010-05-16,1492.4
Mexico,2010-05-16,1563.1
South Africa,2010-05-16,1536.8
Austria,2010-05-19,1494.5
Croatia,2010-05-19,1525.5
Belgium,2010-05-19,1494.5
DR Congo,2010-05-21,1474.2
Saudi Arabia,2010-05-21,1514.5
Turkey,2010-05-22,1521.0
Czech Republic,2010-05-22,1483.3
Croatia,2010-05-23,1534.8
Argentina,2010-05-24,1551.2
Canada,2010-05-24,1480.8
Australia,2010-05-24,1524.7
New Zealand,2010-05-24,1479.5
England,2010-05-24,1531.1
Mexico,2010-05-24,1550.5
Japan,2010-05-24,1482.4
South Korea,2010-05-24,1580.2
Portugal,2010-05-24,1510.5
Cape Verde,2010-05-24,1503.2
South Africa,2010-05-24,1532.7
Uzbekistan,2010-05-25,1464.8
Paraguay,2010-05-25,1500.6
Saudi Arabia,2010-05-25,1515.2
United States,2010-05-25,1462.5
Czech Republic,2010-05-25,1502.5
Croatia,2010-05-26,1536.8
France,2010-05-26,1488.3
Netherlands,2010-05-26,1518.1
Mexico,2010-05-26,1539.2
Turkey,2010-05-26,1534.8
Uruguay,2010-05-26,1531.8
Senegal,2010-05-27,1498.3
South Africa,2010-05-27,1539.0
Colombia,2010-05-27,1493.6
Algeria,2010-05-28,1435.7
Germany,2010-05-29,1522.4
New Zealand,2010-05-29,1491.3
Norway,2010-05-29,1519.2
Spain,2010-05-29,1529.1
Saudi Arabia,2010-05-29,1505.4
Sweden,2010-05-29,1538.9
Bosnia and Herzegovina,2010-05-29,1498.2
United States,2010-05-29,1471.7
Turkey,2010-05-29,1525.6
Canada,2010-05-29,1485.0
South Korea,2010-05-30,1568.3
Japan,2010-05-30,1473.8
England,2010-05-30,1539.7
Mexico,2010-05-30,1556.5
Colombia,2010-05-30,1494.9
Paraguay,2010-05-30,1501.0
Ivory Coast,2010-05-30,1515.4
Tunisia,2010-05-30,1491.8
France,2010-05-30,1491.3
South Africa,2010-05-31,1551.9
Australia,2010-06-01,1534.2
Netherlands,2010-06-01,1531.1
Ghana,2010-06-01,1513.4
Portugal,2010-06-01,1520.5
Switzerland,2010-06-01,1468.1
Sweden,2010-06-02,1551.4
Paraguay,2010-06-02,1515.2
Norway,2010-06-02,1506.4
Brazil,2010-06-02,1535.5
Germany,2010-06-03,1532.3
Bosnia and Herzegovina,2010-06-03,1488.3
Mexico,2010-06-03,1564.9
Spain,2010-06-03,1540.2
South Korea,2010-06-03,1557.2
France,2010-06-04,1483.1
Japan,2010-06-04,1460.6
Ivory Coast,2010-06-04,1528.6
New Zealand,2010-06-04,1481.3
Algeria,2010-06-05,1448.8
Australia,2010-06-05,1516.5
United States,2010-06-05,1489.4
Ghana,2010-06-05,1522.8
Netherlands,2010-06-05,1542.7
South Africa,2010-06-05,1557.7
Switzerland,2010-06-05,1465.9
Brazil,2010-06-07,1556.3
Portugal,2010-06-08,1532.4
Spain,2010-06-08,1556.4
South Africa,2010-06-11,1549.8
Mexico,2010-06-11,1572.7
Uruguay,2010-06-11,1527.6
France,2010-06-11,1487.3
Argentina,2010-06-12,1581.3
England,2010-06-12,1535.4
United States,2010-06-12,1493.7
South Korea,2010-06-12,1590.9
Algeria,2010-06-13,1425.1
Germany,2010-06-13,1586.0
Australia,2010-06-13,1462.8
Ghana,2010-06-13,1554.1
Paraguay,2010-06-14,1513.3
Japan,2010-06-14,1491.8
Netherlands,2010-06-14,1580.8
Brazil,2010-06-15,1582.0
Ivory Coast,2010-06-15,1528.9
Portugal,2010-06-15,1532.1
New Zealand,2010-06-15,1483.0
South Africa,2010-06-16,1479.6
Uruguay,2010-06-16,1597.9
Spain,2010-06-16,1518.8
Switzerland,2010-06-16,1503.6
Argentina,2010-06-17,1635.2
South Korea,2010-06-17,1536.9
France,2010-06-17,1453.1
Mexico,2010-06-17,1606.9
England,2010-06-18,1526.2
Algeria,2010-06-18,1434.3
Germany,2010-06-18,1549.2
United States,2010-06-18,1498.2
Ghana,2010-06-19,1546.4
Australia,2010-06-19,1470.5
Netherlands,2010-06-19,1603.3
Japan,2010-06-19,1469.3
Brazil,2010-06-20,1620.2
Ivory Coast,2010-06-20,1490.7
New Zealand,2010-06-20,1484.1
Paraguay,2010-06-20,1556.4
Tunisia,2010-06-20,1516.1
Switzerland,2010-06-21,1478.8
Portugal,2010-06-21,1589.6
Spain,2010-06-21,1555.2
Argentina,2010-06-22,1660.4
Mexico,2010-06-22,1576.1
Uruguay,2010-06-22,1628.6
South Korea,2010-06-22,1532.4
South Africa,2010-06-22,1499.1
France,2010-06-22,1433.6
Australia,2010-06-23,1506.7
Ghana,2010-06-23,1516.6
Germany,2010-06-23,1579.0
England,2010-06-23,1557.5
United States,2010-06-23,1522.7
Algeria,2010-06-23,1409.8
Netherlands,2010-06-24,1618.4
Japan,2010-06-24,1515.8
Paraguay,2010-06-24,1550.3
New Zealand,2010-06-24,1490.2
Spain,2010-06-25,1588.1
Ivory Coast,2010-06-25,1533.1
Portugal,2010-06-25,1592.2
Brazil,2010-06-25,1617.5
Switzerland,2010-06-25,1473.4
Uruguay,2010-06-26,1650.5
South Korea,2010-06-26,1510.5
United States,2010-06-26,1492.2
Ghana,2010-06-26,1547.2
Argentina,2010-06-27,1694.7
Mexico,2010-06-27,1541.8
Germany,2010-06-27,1628.3
England,2010-06-27,1508.3
Brazil,2010-06-28,1660.8
Netherlands,2010-06-28,1637.7
Paraguay,2010-06-29,1547.3
Japan,2010-06-29,1518.7
Spain,2010-06-29,1618.5
Portugal,2010-06-29,1561.9
Tunisia,2010-07-01,1490.3
Netherlands,2010-07-02,1669.7
Brazil,2010-07-02,1628.8
Uruguay,2010-07-02,1641.9
Ghana,2010-07-02,1555.8
Argentina,2010-07-03,1627.8
Germany,2010-07-03,1695.1
Paraguay,2010-07-03,1523.4
Spain,2010-07-03,1642.4
Uruguay,2010-07-06,1614.3
Netherlands,2010-07-06,1697.3
Germany,2010-07-07,1660.6
Spain,2010-07-07,1676.9
Uruguay,2010-07-10,1588.2
Germany,2010-07-10,1686.6
Netherlands,2010-07-11,1665.5
Spain,2010-07-11,1708.7
Bosnia and Herzegovina,2010-08-10,1485.4
Qatar,2010-08-10,1487.6
Ivory Coast,2010-08-10,1541.0
United States,2010-08-10,1478.8
Brazil,2010-08-10,1642.3
Uzbekistan,2010-08-11,1459.1
Algeria,2010-08-11,1400.5
Uruguay,2010-08-11,1598.4
Iran,2010-08-11,1575.0
Austria,2010-08-11,1481.2
Switzerland,2010-08-11,1486.7
Colombia,2010-08-11,1497.3
Tunisia,2010-08-11,1528.2
Czech Republic,2010-08-11,1514.4
Germany,2010-08-11,1682.5
Egypt,2010-08-11,1669.7
DR Congo,2010-08-11,1468.6
England,2010-08-11,1514.3
Belgium,2010-08-11,1487.2
Argentina,2010-08-11,1637.1
South Korea,2010-08-11,1517.2
Mexico,2010-08-11,1543.7
Spain,2010-08-11,1706.8
Morocco,2010-08-11,1507.2
Norway,2010-08-11,1511.8
France,2010-08-11,1428.2
Panama,2010-08-11,1517.8
Paraguay,2010-08-11,1532.7
Saudi Arabia,2010-08-11,1511.5
Senegal,2010-08-11,1505.6
Cape Verde,2010-08-11,1495.8
Croatia,2010-08-11,1537.7
Australia,2010-08-11,1496.1
South Africa,2010-08-11,1507.9
Ghana,2010-08-11,1547.1
Sweden,2010-08-11,1562.0
Scotland,2010-08-11,1496.6
Turkey,2010-08-11,1534.8
Netherlands,2010-08-11,1664.6
Algeria,2010-09-03,1397.7
Belgium,2010-09-03,1472.6
Germany,2010-09-03,1697.2
Iran,2010-09-03,1594.0
England,2010-09-03,1538.1
France,2010-09-03,1408.4
Norway,2010-09-03,1538.0
Turkey,2010-09-03,1576.5
Croatia,2010-09-03,1576.6
Spain,2010-09-03,1733.5
Scotland,2010-09-03,1501.3
Bosnia and Herzegovina,2010-09-03,1528.9
Panama,2010-09-03,1513.9
Portugal,2010-09-03,1553.3
Qatar,2010-09-03,1484.2
Netherlands,2010-09-03,1697.3
Sweden,2010-09-03,1576.1
Switzerland,2010-09-03,1484.2
Australia,2010-09-03,1498.6
Colombia,2010-09-03,1517.5
Canada,2010-09-04,1466.4
Cape Verde,2010-09-04,1510.0
Ivory Coast,2010-09-04,1561.3
Japan,2010-09-04,1526.3
Paraguay,2010-09-04,1525.1
Mexico,2010-09-04,1529.6
Ecuador,2010-09-04,1506.5
Morocco,2010-09-04,1501.2
South Africa,2010-09-04,1529.4
Tunisia,2010-09-04,1519.3
DR Congo,2010-09-05,1433.3
Senegal,2010-09-05,1541.0
Egypt,2010-09-05,1656.7
Ghana,2010-09-05,1586.4
Argentina,2010-09-07,1654.5
Spain,2010-09-07,1716.2
Austria,2010-09-07,1501.2
Bosnia and Herzegovina,2010-09-07,1482.0
France,2010-09-07,1455.3
Canada,2010-09-07,1472.5
Paraguay,2010-09-07,1528.6
Croatia,2010-09-07,1565.4
Czech Republic,2010-09-07,1486.9
Uzbekistan,2010-09-07,1462.2
Germany,2010-09-07,1710.1
Japan,2010-09-07,1533.6
South Korea,2010-09-07,1506.5
Iran,2010-09-07,1604.6
Mexico,2010-09-07,1536.5
Colombia,2010-09-07,1510.6
Netherlands,2010-09-07,1702.7
Norway,2010-09-07,1553.2
Portugal,2010-09-07,1538.1
Panama,2010-09-07,1524.5
Australia,2010-09-07,1511.7
Qatar,2010-09-07,1482.5
Scotland,2010-09-07,1514.5
Sweden,2010-09-07,1595.8
Switzerland,2010-09-07,1450.2
England,2010-09-07,1572.1
Turkey,2010-09-07,1586.0
Belgium,2010-09-07,1463.1
Ecuador,2010-09-07,1499.1
Jordan,2010-09-16,1510.4
Iraq,2010-09-16,1487.3
Jordan,2010-09-19,1520.0
Iraq,2010-09-21,1498.4
Iran,2010-09-24,1621.2
Jordan,2010-09-24,1516.0
Iraq,2010-09-25,1512.9
Jordan,2010-09-28,1512.7
