team,group,outright_american,p_champion_market,p_groupwin_market
Spain,H,450,0.1515,0.7385
France,I,480,0.1437,0.6331
England,L,650,0.1111,0.6881
Brazil,C,850,0.0877,0.7151
Portugal,K,850,0.0877,0.6323
Argentina,J,1000,0.0758,0.6749
Germany,E,1300,0.0595,0.6698
Netherlands,F,1700,0.0463,0.5101
Belgium,G,2500,0.0321,0.6238
Norway,I,3300,0.0245,0.2422
Colombia,K,4500,0.0181,0.2668
Uruguay,H,5500,0.0149,0.192
United States,D,6000,0.0137,0.3795
Morocco,C,6500,0.0126,0.1933
Japan,F,6500,0.0126,0.2507
Switzerland,B,6500,0.0126,0.4988
Croatia,L,7000,0.0117,0.2007
Mexico,A,7000,0.0117,0.4703
Austria,J,8000,0.0103,0.1983
Ecuador,E,10000,0.0083,0.1969
Sweden,F,12500,0.0066,0.1641
Turkey,D,12500,0.0066,0.3312
Senegal,I,15000,0.0055,0.1069
Ivory Coast,E,17500,0.0047,0.1266
Canada,B,22500,0.0037,0.2993
Scotland,C,25000,0.0033,0.0826
Paraguay,D,25000,0.0033,0.1822
Algeria,J,30000,0.0028,0.105
Ghana,L,35000,0.0024,0.0821
Bosnia and Herzegovina,B,35000,0.0024,0.171
Egypt,G,40000,0.0021,0.179
South Korea,A,40000,0.0021,0.2244
Czech Republic,A,50000,0.0017,0.2363
Iran,G,100000,0.0008,0.1627
Australia,D,100000,0.0008,0.1072
Tunisia,F,150000,0.0006,0.0752
Cape Verde,H,250000,0.0003,0.022
Saudi Arabia,H,250000,0.0003,0.0475
Curaçao,E,250000,0.0003,0.0068
New Zealand,G,250000,0.0003,0.0344
Qatar,B,250000,0.0003,0.031
Iraq,I,250000,0.0003,0.0178
Jordan,J,250000,0.0003,0.0218
DR Congo,K,250000,0.0003,0.0756
Uzbekistan,K,250000,0.0003,0.0252
Panama,L,250000,0.0003,0.0291
Haiti,C,250000,0.0003,0.009
South Africa,A,250000,0.0003,0.0691
