team,p_reach_R16,p_reach_QF,p_reach_SF,p_final,p_champion
Argentina,0.912,0.706,0.515,0.338,0.228
Spain,0.799,0.525,0.371,0.236,0.133
France,0.816,0.516,0.289,0.152,0.069
England,0.771,0.445,0.254,0.126,0.068
Brazil,0.527,0.374,0.208,0.106,0.058
Colombia,0.822,0.534,0.227,0.114,0.053
Portugal,0.688,0.319,0.2,0.109,0.05
Morocco,0.568,0.348,0.192,0.1,0.049
Mexico,0.631,0.337,0.183,0.085,0.043
Japan,0.473,0.319,0.165,0.079,0.041
Canada,0.795,0.367,0.18,0.081,0.035
Germany,0.733,0.358,0.175,0.076,0.031
United States,0.876,0.435,0.158,0.068,0.026
Belgium,0.558,0.32,0.129,0.06,0.022
Netherlands,0.432,0.246,0.122,0.057,0.022
Australia,0.609,0.185,0.089,0.037,0.014
Senegal,0.442,0.227,0.079,0.031,0.011
Ecuador,0.369,0.15,0.061,0.021,0.008
Switzerland,0.503,0.212,0.065,0.022,0.008
Norway,0.547,0.174,0.065,0.022,0.007
Algeria,0.497,0.205,0.058,0.019,0.007
Ivory Coast,0.453,0.132,0.045,0.014,0.005
Croatia,0.312,0.09,0.038,0.014,0.004
Egypt,0.391,0.086,0.032,0.01,0.003
Austria,0.201,0.066,0.024,0.008,0.002
Paraguay,0.267,0.073,0.02,0.006,0.001
DR Congo,0.229,0.068,0.02,0.005,0.001
Sweden,0.184,0.054,0.013,0.002,0.0
South Africa,0.205,0.039,0.008,0.002,0.0
Ghana,0.178,0.049,0.008,0.001,0.0
Bosnia and Herzegovina,0.124,0.018,0.001,0.0,0.0
Cape Verde,0.088,0.023,0.005,0.001,0.0
