match_id,date,home_team,away_team,attendance,extra_time,pen_home,pen_away,referee,home_xi,away_xi,home_subs,away_subs,home_captain,away_captain
eb6d7020b9,2018-06-14,Russia,Saudi Arabia,78011,FALSE,,,Néstor Fabián Pitana,Igor AKINFEEV; MARIO FERNANDES; Ilya KUTEPOV; Sergey IGNASHEVICH; Yury ZHIRKOV; Iury GAZINSKY; Alan DZAGOEV; Roman ZOBNIN; Aleksandr GOLOVIN; Alexander SAMEDOV; Fedor SMOLOV,ABDULLAH ALMUAIOUF; OSAMA HAWSAWI; OMAR HAWSAWI; MOHAMMED ALBURAYK; YASIR ALSHAHRANI; SALMAN ALFARAJ; YAHIA ALSHEHRI; ABDULLAH OTAYF; TAISEER ALJASSAM; SALEM ALDAWSARI; MOHAMMED ALSAHLAWI,Denis CHERYSHEV; Daler KUZIAEV; Artem DZYUBA,HATAN BAHBRI; FAHAD ALMUWALLAD; MUHANNAD ASIRI,Igor AKINFEEV,OSAMA HAWSAWI
d47402c1c0,2018-06-15,Egypt,Uruguay,27015,FALSE,,,Björn Kuipers,MOHAMED ELSHENAWY; ALI GABR; AHMED HEGAZY; AHMED FATHI; MOHAMED ABDELSHAFY; TAREK HAMED; MOHAMED ELNENY; ABDALLA SAID; TREZEGUET; AMR WARDA; MARWAN MOHSEN,Fernando MUSLERA; Jose GIMENEZ; Diego GODIN; Guillermo VARELA; Martin CACERES; Rodrigo BENTANCUR; Nahitan NANDEZ; Giorgian DE ARRASCAETA; Matias VECINO; Luis SUAREZ; Edinson CAVANI,SAM MORSY; RAMADAN SOBHI; KAHRABA,Carlos SANCHEZ; Cristian RODRIGUEZ; Lucas TORREIRA,AHMED FATHI,Diego GODIN
64797046a1,2018-06-15,Morocco,Iran,62548,FALSE,,,Cüneyt Çakιr,Monir EL KAJOUI; Achraf HAKIMI; Mehdi BENATIA; Romain SAISS; Noureddine AMRABAT; Hakim ZIYECH; Karim EL AHMADI; Younes BELHANDA; Mbark BOUSSOUFA; Amine HARIT; Ayoub EL KAABI,Ali BEIRANVAND; Ehsan HAJI SAFI; Roozbeh CHESHMI; Morteza POURALIGANJI; Ramin REZAEIAN; Masoud SHOJAEI; Omid EBRAHIMI; Karim ANSARIFARD; Vahid AMIRI; Alireza JAHANBAKHSH; Sardar AZMOUN,Sofyan AMRABAT; Manuel DA COSTA; Aziz BOUHADDOUZ,Mehdi TAREMI; Majid HOSSEINI; Saman GHODDOS,Mehdi BENATIA,Masoud SHOJAEI
6a52b9ebd3,2018-06-15,Portugal,Spain,43866,FALSE,,,Gianluca Rocchi,RUI PATRICIO; PEPE; RAPHAEL GUERREIRO; JOSE FONTE; CEDRIC; JOAO MOUTINHO; BERNARDO SILVA; WILLIAM; BRUNO FERNANDES; CRISTIANO RONALDO; GONCALO GUEDES,David DE GEA; Gerard PIQUE; NACHO; Sergio RAMOS; Jordi ALBA; Sergio BUSQUETS; Andres INIESTA; KOKE; David SILVA; ISCO; Diego COSTA,RICARDO QUARESMA; JOAO MARIO; ANDRE SILVA,THIAGO; Lucas VAZQUEZ; Iago ASPAS,CRISTIANO RONALDO,Sergio RAMOS
4f4473c892,2018-06-16,Argentina,Iceland,44190,FALSE,,,Szymon Marciniak,Wilfredo CABALLERO; Nicolas TAGLIAFICO; Marcos ROJO; Nicolas OTAMENDI; Eduardo SALVIO; Lucas BIGLIA; Lionel MESSI; Angel DI MARIA; Maximiliano MEZA; Javier MASCHERANO; Sergio AGUERO,Hannes HALLDORSSON; Birkir SAEVARSSON; Ragnar SIGURDSSON; Kari ARNASON; Hordur MAGNUSSON; Johann GUDMUNDSSON; Birkir BJARNASON; Aron GUNNARSSON; Emil HALLFREDSSON; Gylfi SIGURDSSON; Alfred FINNBOGASON,Ever BANEGA; Cristian PAVON; Gonzalo HIGUAIN,Rurik GISLASON; Ari SKULASON; Bjorn SIGURDARSON,Lionel MESSI,Aron GUNNARSSON
bd7f3fd95d,2018-06-16,Croatia,Nigeria,31136,FALSE,,,Sandro RICCI,Danijel SUBASIC; Sime VRSALJKO; Ivan STRINIC; Dejan LOVREN; Domagoj VIDA; Ivan PERISIC; Ivan RAKITIC; Andrej KRAMARIC; Luka MODRIC; Ante REBIC; Mario MANDZUKIC,Francis UZOHO; Bryan IDOWU; William EKONG; Leon BALOGUN; Abdullahi SHEHU; Wilfred NDIDI; Oghenekaro ETEBO; Victor MOSES; Alex IWOBI; Odion IGHALO; John Obi MIKEL,Marcelo BROZOVIC; Mateo KOVACIC; Marko PJACA,Ahmed MUSA; Kelechi IHEANACHO; Simeon NWANKWO,Luka MODRIC,John Obi MIKEL
7e1a19488e,2018-06-16,France,Australia,41279,FALSE,,,Andrés Cunha,Hugo LLORIS; Benjamin PAVARD; Raphael VARANE; Samuel UMTITI; Lucas HERNANDEZ; Paul POGBA; Corentin TOLISSO; Ngolo KANTE; Antoine GRIEZMANN; Kylian MBAPPE; Ousmane DEMBELE,Mathew RYAN; Mark MILLIGAN; Aziz BEHICH; Joshua RISDON; Trent SAINSBURY; Mathew LECKIE; Robbie KRUSE; Aaron MOOY; Mile JEDINAK; Tom ROGIC; Andrew NABBOUT,Blaise MATUIDI; Olivier GIROUD; Nabil FEKIR,Daniel ARZANI; Jackson IRVINE; Tomi JURIC,Hugo LLORIS,Mile JEDINAK
7a3721720b,2018-06-17,Brazil,Switzerland,43109,FALSE,,,César Arturo Ramos Palazuelos,ALISSON; THIAGO SILVA; MIRANDA; MARCELO; DANILO; CASEMIRO; PHILIPPE COUTINHO; PAULINHO; GABRIEL JESUS; NEYMAR; WILLIAN,Yann SOMMER; Stephan LICHTSTEINER; Manuel AKANJI; Ricardo RODRIGUEZ; Fabian SCHAER; Granit XHAKA; Valon BEHRAMI; Steven ZUBER; Blerim DZEMAILI; Xherdan SHAQIRI; Haris SEFEROVIC,FERNANDINHO; RENATO AUGUSTO; ROBERTO FIRMINO,Michael LANG; Denis ZAKARIA; Breel EMBOLO,MARCELO,Stephan LICHTSTEINER
57fa77beef,2018-06-17,Germany,Mexico,78011,FALSE,,,Alireza Faghani,Manuel NEUER; Marvin PLATTENHARDT; Mats HUMMELS; Jerome BOATENG; Joshua KIMMICH; Sami KHEDIRA; Julian DRAXLER; Toni KROOS; Mesut OEZIL; Thomas MUELLER; Timo WERNER,Guillermo OCHOA; Hugo AYALA; Carlos SALCEDO; Hector MORENO; Jesus GALLARDO; Miguel LAYUN; Carlos VELA; Hector HERRERA; Andres GUARDADO; Hirving LOZANO; Javier HERNANDEZ,Mario GOMEZ; Marco REUS; Julian BRANDT,Edson ALVAREZ; Rafael MARQUEZ; Raul JIMENEZ,Manuel NEUER,Andres GUARDADO
8e5e146032,2018-06-18,Belgium,Panama,43257,FALSE,,,Janny Sikazwe,Thibaut COURTOIS; Toby ALDERWEIRELD; Jan VERTONGHEN; Dedryck BOYATA; Axel WITSEL; Kevin DE BRUYNE; Yannick CARRASCO; Thomas MEUNIER; Romelu LUKAKU; Eden HAZARD; Dries MERTENS,Jaime PENEDO; Michael MURILLO; Fidel ESCOBAR; Roman TORRES; Eric DAVIS; Gabriel GOMEZ; Edgar BARCENAS; Armando COOPER; Anibal GODOY; Jose Luis RODRIGUEZ; Blas PEREZ,Nacer CHADLI; Moussa DEMBELE; Thorgan HAZARD,Gabriel TORRES; Ismael DIAZ; Luis TEJADA,Eden HAZARD,Roman TORRES
