match_id,date,home_team,away_team,competition,sb_stage,sb_match_week,stadium,referee,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_passes,away_passes,home_goals_sb,away_goals_sb,possession_note
4b3d4fad99,2022-11-20,Qatar,Ecuador,FIFA World Cup 2022,Group Stage,1,Al Bayt Stadium,Daniele Orsato,0.304,1.154,5,6,0,3,1,3,17,14,4,2,0,0,468,519,0,2,not in open data; use pass share as proxy
9762b4afbd,2022-11-21,England,Iran,FIFA World Cup 2022,Group Stage,1,Sheikh Khalifa International Stadium,Raphael Claus,1.987,1.456,13,8,7,3,8,0,9,21,0,2,0,0,846,247,6,2,not in open data; use pass share as proxy
7f4768d822,2022-11-21,Senegal,Netherlands,FIFA World Cup 2022,Group Stage,1,Al Thumama Stadium,Wilton Pereira Sampaio,0.691,1.124,15,10,4,3,6,7,13,16,2,1,0,0,430,491,0,2,not in open data; use pass share as proxy
ace697a3c9,2022-11-21,United States,Wales,FIFA World Cup 2022,Group Stage,1,Ahmad bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,0.602,1.395,6,7,1,3,5,3,17,10,4,2,0,0,610,443,1,1,not in open data; use pass share as proxy
ff23621188,2022-11-22,Argentina,Saudi Arabia,FIFA World Cup 2022,Group Stage,1,Lusail Stadium,Slavko Vinčić,2.492,0.153,15,3,6,2,9,2,7,22,0,6,0,0,646,286,1,2,not in open data; use pass share as proxy
2630627662,2022-11-22,Denmark,Tunisia,FIFA World Cup 2022,Group Stage,1,Education City Stadium ,César Arturo Ramos Palazuelos,1.567,1.06,11,13,5,1,11,9,13,10,2,1,0,0,646,417,0,0,not in open data; use pass share as proxy
7324621264,2022-11-22,France,Australia,FIFA World Cup 2022,Group Stage,1,Al Janoub Stadium   ,Victor Miguel de Freitas Gomes,3.17,0.323,23,4,6,1,8,1,4,14,0,3,0,0,763,475,4,1,not in open data; use pass share as proxy
ce9a7808a7,2022-11-22,Mexico,Poland,FIFA World Cup 2022,Group Stage,1,Stadium 974,Chris Beath,0.529,1.138,11,6,4,2,6,5,14,15,2,1,0,0,544,362,0,0,not in open data; use pass share as proxy
f19c3f3e88,2022-11-23,Belgium,Canada,FIFA World Cup 2022,Group Stage,1,Ahmad bin Ali Stadium,Janny Sikazwe,0.67,2.546,9,22,3,3,4,4,11,15,3,2,0,0,534,480,1,0,not in open data; use pass share as proxy
f4157497e4,2022-11-23,Germany,Japan,FIFA World Cup 2022,Group Stage,1,Sheikh Khalifa International Stadium,Ivan Arcides Barton Cisneros,2.768,1.249,26,12,9,4,6,6,7,15,0,0,0,0,826,294,1,2,not in open data; use pass share as proxy
f91e44834b,2022-11-23,Morocco,Croatia,FIFA World Cup 2022,Group Stage,1,Al Bayt Stadium,Fernando Andrés Rapallini,0.363,0.85,8,5,2,1,0,5,18,12,1,0,0,0,384,686,0,0,not in open data; use pass share as proxy
2fdd1ef4b3,2022-11-23,Spain,Costa Rica,FIFA World Cup 2022,Group Stage,1,Al Thumama Stadium,,2.762,0.0,17,0,8,0,5,0,8,14,0,2,0,0,1090,250,7,0,not in open data; use pass share as proxy
78ec6cf492,2022-11-24,Brazil,Serbia,FIFA World Cup 2022,Group Stage,1,Lusail Stadium,Alireza Faghani,2.124,0.163,23,5,9,0,5,4,8,11,0,3,0,0,618,446,2,0,not in open data; use pass share as proxy
35c57d8e2b,2022-11-24,Portugal,Ghana,FIFA World Cup 2022,Group Stage,1,Stadium 974,Ismail Elfath,2.097,0.78,11,9,5,3,3,3,15,20,2,4,0,0,665,415,3,2,not in open data; use pass share as proxy
5ec685e9a1,2022-11-24,Switzerland,Cameroon,FIFA World Cup 2022,Group Stage,1,Al Janoub Stadium   ,Facundo Tello Figueroa,1.427,0.613,7,8,3,5,11,5,14,10,2,1,0,0,549,533,1,0,not in open data; use pass share as proxy
