team,team_display,wc_group,date,days_ago,opponent,opponent_is_wc26,venue,is_home_record,gf,ga,goal_diff,result,points,went_to_shootout,shootout_won,tournament,competition_type,is_competitive,city,country,neutral,scorers,match_id,notes
Algeria,Algeria,J,2022-06-08,1460,Tanzania,FALSE,away,FALSE,2,0,2,W,3,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Dar es Salaam,Tanzania,FALSE,,9c98856923,
Algeria,Algeria,J,2022-06-12,1456,Iran,TRUE,neutral,FALSE,2,1,1,W,3,FALSE,,Friendly,Friendly,FALSE,Doha,Qatar,TRUE,,3819eea052,
Algeria,Algeria,J,2022-09-23,1353,Guinea,FALSE,home,TRUE,1,0,1,W,3,FALSE,,Friendly,Friendly,FALSE,Oran,Algeria,FALSE,,b2a9b825a4,
Algeria,Algeria,J,2022-09-27,1349,Nigeria,FALSE,home,TRUE,2,1,1,W,3,FALSE,,Friendly,Friendly,FALSE,Oran,Algeria,FALSE,,78935d2b50,
Algeria,Algeria,J,2022-11-13,1302,Syria,FALSE,neutral,FALSE,1,0,1,W,3,FALSE,,Friendly,Friendly,FALSE,Sharjah,United Arab Emirates,TRUE,,d8f470ba1b,
Algeria,Algeria,J,2022-11-16,1299,Mali,FALSE,home,TRUE,1,1,0,D,1,FALSE,,Friendly,Friendly,FALSE,Oran,Algeria,FALSE,,a2cdf2b421,
Algeria,Algeria,J,2022-11-19,1296,Sweden,TRUE,away,FALSE,0,2,-2,L,0,FALSE,,Friendly,Friendly,FALSE,Malmö,Sweden,FALSE,,1f9a579814,
Algeria,Algeria,J,2023-03-23,1172,Niger,FALSE,home,TRUE,2,1,1,W,3,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Algiers,Algeria,FALSE,,cc41f277e0,
Algeria,Algeria,J,2023-03-27,1168,Niger,FALSE,neutral,FALSE,1,0,1,W,3,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Radès,Tunisia,TRUE,,89208c3fdc,
Algeria,Algeria,J,2023-06-18,1085,Uganda,FALSE,neutral,FALSE,2,1,1,W,3,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Douala,Cameroon,TRUE,,6ba18bb65c,
Algeria,Algeria,J,2023-06-20,1083,Tunisia,TRUE,home,TRUE,1,1,0,D,1,FALSE,,Friendly,Friendly,FALSE,Annaba,Algeria,FALSE,,ff83ca7980,
Algeria,Algeria,J,2023-09-07,1004,Tanzania,FALSE,home,TRUE,0,0,0,D,1,FALSE,,African Cup of Nations qualification,Continental Qualifier,TRUE,Annaba,Algeria,FALSE,,8661311b67,
Algeria,Algeria,J,2023-09-12,999,Senegal,TRUE,away,FALSE,1,0,1,W,3,FALSE,,Friendly,Friendly,FALSE,Diamniadio,Senegal,FALSE,,9d9b97360a,
Algeria,Algeria,J,2023-10-12,969,Cape Verde,TRUE,home,TRUE,5,1,4,W,3,FALSE,,Friendly,Friendly,FALSE,Constantine,Algeria,FALSE,,636c5ee78f,
Algeria,Algeria,J,2023-10-16,965,Egypt,TRUE,neutral,TRUE,1,1,0,D,1,FALSE,,Friendly,Friendly,FALSE,Al Ain,United Arab Emirates,TRUE,,a8c7c79509,
